zip,default_state,county,county_state,state_abbreviation,county_code,zip_pop,zip_pop_in_county,n_counties,default_city
"00653",PR,Yauco Municipio,Puerto Rico,PR,72153,8665,0.00335233,2,Guanica
"00656",PR,Guayanilla Municipio,Puerto Rico,PR,72059,17815,1,1,Guayanilla
"00659",PR,Arecibo Municipio,Puerto Rico,PR,72013,37203,0.01057188,2,Hatillo
"00659",PR,Hatillo Municipio,Puerto Rico,PR,72065,37203,0.98942812,2,Hatillo
"00660",PR,Hormigueros Municipio,Puerto Rico,PR,72067,15439,0.994984675,2,Hormigueros
"00660",PR,Mayagüez Municipio,Puerto Rico,PR,72097,15439,0.005015325,2,Hormigueros
"00662",PR,Aguadilla Municipio,Puerto Rico,PR,72005,40705,0.001216545,4,Isabela
"00662",PR,Isabela Municipio,Puerto Rico,PR,72071,40705,0.988746959,4,Isabela
"00662",PR,Moca Municipio,Puerto Rico,PR,72099,40705,0.008972019,4,Isabela
"00662",PR,Quebradillas Municipio,Puerto Rico,PR,72115,40705,0.001064477,4,Isabela
"00664",PR,Jayuya Municipio,Puerto Rico,PR,72073,14816,1,1,Jayuya
"00667",PR,Lajas Municipio,Puerto Rico,PR,72079,23116,0.998996208,2,Lajas
"00667",PR,Sabana Grande Municipio,Puerto Rico,PR,72121,23116,0.001003792,2,Lajas
"00669",PR,Lares Municipio,Puerto Rico,PR,72081,27534,1,1,Lares
"00670",PR,Las Marías Municipio,Puerto Rico,PR,72083,8553,1,1,Las Marias
"00674",PR,Barceloneta Municipio,Puerto Rico,PR,72017,39288,0.000632148,4,Manati
"00674",PR,Manatí Municipio,Puerto Rico,PR,72091,39288,0.968622493,4,Manati
"00674",PR,Morovis Municipio,Puerto Rico,PR,72101,39288,0.01126372,4,Manati
"00674",PR,Vega Baja Municipio,Puerto Rico,PR,72145,39288,0.019481639,4,Manati
"00676",PR,Moca Municipio,Puerto Rico,PR,72099,36836,0.998864692,2,Moca
"00676",PR,San Sebastián Municipio,Puerto Rico,PR,72131,36836,0.001135308,2,Moca
"00677",PR,Rincón Municipio,Puerto Rico,PR,72117,15432,1,1,Rincon
"00678",PR,Quebradillas Municipio,Puerto Rico,PR,72115,24848,1,1,Quebradillas
"00680",PR,Añasco Municipio,Puerto Rico,PR,72011,42817,4.71254E-05,4,Mayaguez
"00680",PR,Cabo Rojo Municipio,Puerto Rico,PR,72023,42817,0,4,Mayaguez
"00680",PR,Hormigueros Municipio,Puerto Rico,PR,72067,42817,0.000141376,4,Mayaguez
"00680",PR,Mayagüez Municipio,Puerto Rico,PR,72097,42817,0.999811499,4,Mayaguez
"00681",PR,Mayagüez Municipio,Puerto Rico,PR,72097,,1,1,Mayaguez
"00682",PR,Mayagüez Municipio,Puerto Rico,PR,72097,29939,1,1,Mayaguez
"00683",PR,Cabo Rojo Municipio,Puerto Rico,PR,72023,29431,0.000784129,5,San German
"00683",PR,Hormigueros Municipio,Puerto Rico,PR,72067,29431,0.008390183,5,San German
"00683",PR,Mayagüez Municipio,Puerto Rico,PR,72097,29431,0.000156826,5,San German
"00683",PR,Sabana Grande Municipio,Puerto Rico,PR,72121,29431,0.005880969,5,San German
"00683",PR,San Germán Municipio,Puerto Rico,PR,72125,29431,0.984787893,5,San German
"00685",PR,San Sebastián Municipio,Puerto Rico,PR,72131,40323,1,1,San Sebastian
"00687",PR,Corozal Municipio,Puerto Rico,PR,72047,28534,0.000101502,4,Morovis
"00687",PR,Morovis Municipio,Puerto Rico,PR,72101,28534,0.998477467,4,Morovis
"00687",PR,Vega Alta Municipio,Puerto Rico,PR,72143,28534,0.000406009,4,Morovis
"00687",PR,Vega Baja Municipio,Puerto Rico,PR,72145,28534,0.001015022,4,Morovis
"00688",PR,Arecibo Municipio,Puerto Rico,PR,72013,10985,1,1,Sabana Hoyos
"00690",PR,Aguadilla Municipio,Puerto Rico,PR,72005,6275,1,1,San Antonio
"00692",PR,Dorado Municipio,Puerto Rico,PR,72051,32717,0.000327172,4,Vega Alta
"00692",PR,Morovis Municipio,Puerto Rico,PR,72101,32717,0.000736136,4,Vega Alta
"00692",PR,Vega Alta Municipio,Puerto Rico,PR,72143,32717,0.99239326,4,Vega Alta
"00692",PR,Vega Baja Municipio,Puerto Rico,PR,72145,32717,0.006543432,4,Vega Alta
"00693",PR,Manatí Municipio,Puerto Rico,PR,72091,55725,0.004177411,4,Vega Baja
"00693",PR,Morovis Municipio,Puerto Rico,PR,72101,55725,0.001598762,4,Vega Baja
"00693",PR,Vega Alta Municipio,Puerto Rico,PR,72143,55725,0.000825168,4,Vega Baja
"00693",PR,Vega Baja Municipio,Puerto Rico,PR,72145,55725,0.993398659,4,Vega Baja
"00694",PR,Vega Baja Municipio,Puerto Rico,PR,72145,125,1,1,Vega Baja
"00698",PR,Guayanilla Municipio,Puerto Rico,PR,72059,32945,0,2,Yauco
"00698",PR,Yauco Municipio,Puerto Rico,PR,72153,32945,1,2,Yauco
"00703",PR,Aguas Buenas Municipio,Puerto Rico,PR,72007,24642,1,1,Aguas Buenas
"00704",PR,Salinas Municipio,Puerto Rico,PR,72123,6433,1,1,Aguirre
"00705",PR,Aibonito Municipio,Puerto Rico,PR,72009,24475,1,1,Aibonito
"00707",PR,Maunabo Municipio,Puerto Rico,PR,72095,10400,1,1,Maunabo
"00714",PR,Arroyo Municipio,Puerto Rico,PR,72015,15573,1,1,Arroyo
"00715",PR,Juana Díaz Municipio,Puerto Rico,PR,72075,2003,0.213446475,2,Mercedita
"00715",PR,Ponce Municipio,Puerto Rico,PR,72113,2003,0.786553525,2,Mercedita
"00716",PR,Ponce Municipio,Puerto Rico,PR,72113,27705,1,1,Ponce
"00717",PR,Ponce Municipio,Puerto Rico,PR,72113,14651,1,1,Ponce
"00718",PR,Naguabo Municipio,Puerto Rico,PR,72103,23174,1,1,Naguabo
"00719",PR,Barranquitas Municipio,Puerto Rico,PR,72019,29732,0.01172004,3,Naranjito
"00719",PR,Naranjito Municipio,Puerto Rico,PR,72105,29732,0.985473754,3,Naranjito
"00719",PR,San Juan Municipio,Puerto Rico,PR,72127,29732,0.002806207,3,Naranjito
"00720",PR,Juana Díaz Municipio,Puerto Rico,PR,72075,20974,0.002954695,2,Orocovis
"00720",PR,Orocovis Municipio,Puerto Rico,PR,72107,20974,0.997045305,2,Orocovis
"00721",PR,Río Grande Municipio,Puerto Rico,PR,72119,,1,1,Palmer
"00723",PR,Patillas Municipio,Puerto Rico,PR,72109,15835,1,1,Patillas
"00725",PR,Aguas Buenas Municipio,Puerto Rico,PR,72007,76246,0.017684999,4,Caguas
"00725",PR,Caguas Municipio,Puerto Rico,PR,72025,76246,0.981448089,4,Caguas
"00725",PR,Gurabo Municipio,Puerto Rico,PR,72063,76246,0.000520147,4,Caguas
"00725",PR,San Lorenzo Municipio,Puerto Rico,PR,72129,76246,0.000346765,4,Caguas
"00726",PR,Caguas Municipio,Puerto Rico,PR,72025,,1,1,Caguas
"00727",PR,Caguas Municipio,Puerto Rico,PR,72025,53412,1,1,Caguas
"00728",PR,Ponce Municipio,Puerto Rico,PR,72113,37322,1,1,Ponce
"00729",PR,Canóvanas Municipio,Puerto Rico,PR,72029,47653,0.902739074,5,Canovanas
"00729",PR,Carolina Municipio,Puerto Rico,PR,72031,47653,0.006864677,5,Canovanas
"00729",PR,Gurabo Municipio,Puerto Rico,PR,72063,47653,0.002242914,5,Canovanas
"00729",PR,Loíza Municipio,Puerto Rico,PR,72087,47653,0.085162781,5,Canovanas
"00729",PR,Río Grande Municipio,Puerto Rico,PR,72119,47653,0.002990553,5,Canovanas
"00730",PR,Ponce Municipio,Puerto Rico,PR,72113,31976,1,1,Ponce
"00731",PR,Ponce Municipio,Puerto Rico,PR,72113,10221,1,1,Ponce
"00732",PR,Ponce Municipio,Puerto Rico,PR,72113,,1,1,Ponce
"00733",PR,Ponce Municipio,Puerto Rico,PR,72113,,1,1,Ponce
"00735",PR,Ceiba Municipio,Puerto Rico,PR,72037,11159,0.998558247,3,Ceiba
"00735",PR,Fajardo Municipio,Puerto Rico,PR,72053,11159,0.000720877,3,Ceiba
"00735",PR,Río Grande Municipio,Puerto Rico,PR,72119,11159,0.000720877,3,Ceiba
"00736",PR,Caguas Municipio,Puerto Rico,PR,72025,45528,0.001120781,2,Cayey
"00736",PR,Cayey Municipio,Puerto Rico,PR,72035,45528,0.998879219,2,Cayey
"00737",PR,Cayey Municipio,Puerto Rico,PR,72035,,1,1,Cayey
"00738",PR,Ceiba Municipio,Puerto Rico,PR,72037,29797,0.005200774,3,Fajardo
"00738",PR,Fajardo Municipio,Puerto Rico,PR,72053,29797,0.991654572,3,Fajardo
"00738",PR,Luquillo Municipio,Puerto Rico,PR,72089,29797,0.003144654,3,Fajardo
"00739",PR,Caguas Municipio,Puerto Rico,PR,72025,34595,0.025067751,4,Cidra
"00739",PR,Cayey Municipio,Puerto Rico,PR,72035,34595,0.001806685,4,Cidra
"00739",PR,Cidra Municipio,Puerto Rico,PR,72041,34595,0.972222222,4,Cidra
"00739",PR,Comerío Municipio,Puerto Rico,PR,72045,34595,0.000903342,4,Cidra
"00740",PR,Fajardo Municipio,Puerto Rico,PR,72053,1959,1,1,Puerto Real
"00741",PR,Humacao Municipio,Puerto Rico,PR,72069,3733,1,1,Punta Santiago
"00742",PR,Ceiba Municipio,Puerto Rico,PR,72037,,0,1,Roosevelt Roads
"00744",PR,Naguabo Municipio,Puerto Rico,PR,72103,,1,1,Rio Blanco
"00745",PR,Canóvanas Municipio,Puerto Rico,PR,72029,47077,0.004203266,3,Rio Grande
"00745",PR,Loíza Municipio,Puerto Rico,PR,72087,47077,0.00026944,3,Rio Grande
"00745",PR,Río Grande Municipio,Puerto Rico,PR,72119,47077,0.995527294,3,Rio Grande
"00751",PR,Salinas Municipio,Puerto Rico,PR,72123,19596,1,1,Salinas
"00754",PR,San Lorenzo Municipio,Puerto Rico,PR,72129,36822,1,1,San Lorenzo
"00757",PR,Coamo Municipio,Puerto Rico,PR,72043,19974,0.002117464,2,Santa Isabel
"00757",PR,Santa Isabel Municipio,Puerto Rico,PR,72133,19974,0.997882536,2,Santa Isabel
"00765",PR,Vieques Municipio,Puerto Rico,PR,72147,8147,1,1,Vieques
"00766",PR,Juana Díaz Municipio,Puerto Rico,PR,72075,21829,0.005197805,2,Villalba
"00766",PR,Villalba Municipio,Puerto Rico,PR,72149,21829,0.994802195,2,Villalba
"00767",PR,Yabucoa Municipio,Puerto Rico,PR,72151,30453,1,1,Yabucoa
"00769",PR,Coamo Municipio,Puerto Rico,PR,72043,33953,1,1,Coamo
"00771",PR,Humacao Municipio,Puerto Rico,PR,72069,35165,0.002289639,3,Las Piedras
"00771",PR,Juncos Municipio,Puerto Rico,PR,72077,35165,0.016354567,3,Las Piedras
"00771",PR,Las Piedras Municipio,Puerto Rico,PR,72085,35165,0.981355794,3,Las Piedras
"00772",PR,Canóvanas Municipio,Puerto Rico,PR,72029,16961,0.018837019,2,Loiza
"00772",PR,Loíza Municipio,Puerto Rico,PR,72087,16961,0.981162981,2,Loiza
"00773",PR,Fajardo Municipio,Puerto Rico,PR,72053,17631,0.003446917,2,Luquillo
"00773",PR,Luquillo Municipio,Puerto Rico,PR,72089,17631,0.996553083,2,Luquillo
"00775",PR,Culebra Municipio,Puerto Rico,PR,72049,1281,0,1,Culebra
"00777",PR,Gurabo Municipio,Puerto Rico,PR,72063,37243,0,4,Juncos
"00777",PR,Juncos Municipio,Puerto Rico,PR,72077,37243,0.985164835,4,Juncos
"00777",PR,Las Piedras Municipio,Puerto Rico,PR,72085,37243,0.014217033,4,Juncos
"00777",PR,San Lorenzo Municipio,Puerto Rico,PR,72129,37243,0.000618132,4,Juncos
"00778",PR,Caguas Municipio,Puerto Rico,PR,72025,40391,0.010756795,4,Gurabo
"00778",PR,Cataño Municipio,Puerto Rico,PR,72033,40391,0.002736936,4,Gurabo
"00778",PR,Gurabo Municipio,Puerto Rico,PR,72063,40391,0.947870918,4,Gurabo
"00778",PR,San Lorenzo Municipio,Puerto Rico,PR,72129,40391,0.038635351,4,Gurabo
"00780",PR,Ponce Municipio,Puerto Rico,PR,72113,13612,1,1,Coto Laurel
"00782",PR,Comerío Municipio,Puerto Rico,PR,72045,18397,0.970275656,2,Comerio
"00782",PR,San Juan Municipio,Puerto Rico,PR,72127,18397,0.029724344,2,Comerio
"00783",PR,Corozal Municipio,Puerto Rico,PR,72047,34266,0.999554466,2,Corozal
"00783",PR,Toa Alta Municipio,Puerto Rico,PR,72135,34266,0.000445534,2,Corozal
"00784",PR,Arroyo Municipio,Puerto Rico,PR,72015,35405,0.002599891,2,Guayama
"00784",PR,Guayama Municipio,Puerto Rico,PR,72057,35405,0.997400109,2,Guayama
"00785",PR,Guayama Municipio,Puerto Rico,PR,72057,,1,1,Guayama
"00786",PR,Aibonito Municipio,Puerto Rico,PR,72009,135,0,1,La Plata
"00791",PR,Humacao Municipio,Puerto Rico,PR,72069,45912,0.996958668,3,Humacao
"00791",PR,Las Piedras Municipio,Puerto Rico,PR,72085,45912,0.001794885,3,Humacao
"00791",PR,Yabucoa Municipio,Puerto Rico,PR,72151,45912,0.001246448,3,Humacao
"00792",PR,Humacao Municipio,Puerto Rico,PR,72069,,1,1,Humacao
"00794",PR,Barranquitas Municipio,Puerto Rico,PR,72019,28450,0.99048496,2,Barranquitas
"00794",PR,Corozal Municipio,Puerto Rico,PR,72047,28450,0.00951504,2,Barranquitas
"00795",PR,Juana Díaz Municipio,Puerto Rico,PR,72075,43212,0.997542671,2,Juana Diaz
"00795",PR,Ponce Municipio,Puerto Rico,PR,72113,43212,0.002457329,2,Juana Diaz
"00801",VI,,,,78030,,1,1,St Thomas
"00802",VI,,,,78030,,1,1,St Thomas
"00803",VI,,,,78030,,1,1,St Thomas
"00804",VI,,,,78030,,1,1,St Thomas
"00820",VI,,,,78010,,1,1,Christiansted
"00830",VI,,,,78020,,1,1,St John
"00831",VI,,,,78020,,1,1,St John
"00840",VI,,,,78010,,1,1,Frederiksted
"00850",VI,,,,78010,,1,1,Kingshill
"00901",PR,San Juan Municipio,Puerto Rico,PR,72127,6762,1,1,San Juan
"00902",PR,San Juan Municipio,Puerto Rico,PR,72127,,1,1,San Juan
"00907",PR,San Juan Municipio,Puerto Rico,PR,72127,15911,1,1,San Juan
"00908",PR,San Juan Municipio,Puerto Rico,PR,72127,,1,1,San Juan
"00909",PR,Cataño Municipio,Puerto Rico,PR,72033,5466,0.002267574,2,San Juan
"00909",PR,San Juan Municipio,Puerto Rico,PR,72127,5466,0.997732426,2,San Juan
"00910",PR,San Juan Municipio,Puerto Rico,PR,72127,,1,1,San Juan
"00911",PR,San Juan Municipio,Puerto Rico,PR,72127,7430,1,1,San Juan
"00912",PR,San Juan Municipio,Puerto Rico,PR,72127,6219,1,1,San Juan
"00913",PR,Carolina Municipio,Puerto Rico,PR,72031,6700,0.138983051,2,San Juan
"00913",PR,San Juan Municipio,Puerto Rico,PR,72127,6700,0.861016949,2,San Juan
"00914",PR,San Juan Municipio,Puerto Rico,PR,72127,,1,1,San Juan
"00915",PR,San Juan Municipio,Puerto Rico,PR,72127,24484,1,1,San Juan
"00916",PR,San Juan Municipio,Puerto Rico,PR,72127,,1,1,San Juan
"00917",PR,San Juan Municipio,Puerto Rico,PR,72127,18216,1,1,San Juan
"00918",PR,San Juan Municipio,Puerto Rico,PR,72127,16379,1,1,San Juan
"00919",PR,San Juan Municipio,Puerto Rico,PR,72127,,1,1,San Juan
"00920",PR,Guaynabo Municipio,Puerto Rico,PR,72061,16403,0.000296384,2,San Juan
"00920",PR,San Juan Municipio,Puerto Rico,PR,72127,16403,0.999703616,2,San Juan
"00921",PR,Bayamón Municipio,Puerto Rico,PR,72021,34197,0.011760462,4,San Juan
"00921",PR,Carolina Municipio,Puerto Rico,PR,72031,34197,0.000937951,4,San Juan
"00921",PR,Guaynabo Municipio,Puerto Rico,PR,72061,34197,0,4,San Juan
"00921",PR,San Juan Municipio,Puerto Rico,PR,72127,34197,0.987301587,4,San Juan
"00922",PR,Guaynabo Municipio,Puerto Rico,PR,72061,,1,1,San Juan
"00923",PR,San Juan Municipio,Puerto Rico,PR,72127,24826,1,1,San Juan
"00924",PR,Bayamón Municipio,Puerto Rico,PR,72021,47800,0.000335458,3,San Juan
"00924",PR,Carolina Municipio,Puerto Rico,PR,72031,47800,0.042651076,3,San Juan
"00924",PR,San Juan Municipio,Puerto Rico,PR,72127,47800,0.957013466,3,San Juan
"00925",PR,San Juan Municipio,Puerto Rico,PR,72127,4777,1,1,San Juan
"00926",PR,Bayamón Municipio,Puerto Rico,PR,72021,93308,0.000937405,7,San Juan
"00926",PR,Caguas Municipio,Puerto Rico,PR,72025,93308,9.37405E-05,7,San Juan
"00926",PR,Carolina Municipio,Puerto Rico,PR,72031,93308,0.002226336,7,San Juan
"00926",PR,Cataño Municipio,Puerto Rico,PR,72033,93308,0.000539008,7,San Juan
"00926",PR,Guaynabo Municipio,Puerto Rico,PR,72061,93308,0.004030841,7,San Juan
"00926",PR,San Juan Municipio,Puerto Rico,PR,72127,93308,0.978884957,7,San Juan
"00926",PR,Trujillo Alto Municipio,Puerto Rico,PR,72139,93308,0.013287713,7,San Juan
"00927",PR,San Juan Municipio,Puerto Rico,PR,72127,13675,1,1,San Juan
"00928",PR,San Juan Municipio,Puerto Rico,PR,72127,,1,1,San Juan
"00929",PR,San Juan Municipio,Puerto Rico,PR,72127,,1,1,San Juan
"00931",PR,San Juan Municipio,Puerto Rico,PR,72127,,1,1,San Juan
"00934",PR,Bayamón Municipio,Puerto Rico,PR,72021,80,1,2,Fort Buchanan
"00934",PR,Guaynabo Municipio,Puerto Rico,PR,72061,80,0,2,Fort Buchanan
"00935",PR,San Juan Municipio,Puerto Rico,PR,72127,,0,1,San Juan
"00936",PR,San Juan Municipio,Puerto Rico,PR,72127,,1,1,San Juan
"00937",PR,Carolina Municipio,Puerto Rico,PR,72031,,1,1,San Juan
"00940",PR,San Juan Municipio,Puerto Rico,PR,72127,,1,1,San Juan
"00949",PR,Bayamón Municipio,Puerto Rico,PR,72021,66714,0.002987232,4,Toa Baja
"00949",PR,Dorado Municipio,Puerto Rico,PR,72051,66714,0.042447603,4,Toa Baja
"00949",PR,Toa Alta Municipio,Puerto Rico,PR,72135,66714,0.000578174,4,Toa Baja
"00949",PR,Toa Baja Municipio,Puerto Rico,PR,72137,66714,0.953986991,4,Toa Baja
"00950",PR,Toa Baja Municipio,Puerto Rico,PR,72137,0,1,1,Toa Baja
"00951",PR,Toa Baja Municipio,Puerto Rico,PR,72137,399,1,1,Toa Baja
"00952",PR,Toa Baja Municipio,Puerto Rico,PR,72137,8488,1,1,Sabana Seca
"00953",PR,Bayamón Municipio,Puerto Rico,PR,72021,66475,0.013037249,3,Toa Alta
"00953",PR,Toa Alta Municipio,Puerto Rico,PR,72135,66475,0.960936008,3,Toa Alta
"00953",PR,Toa Baja Municipio,Puerto Rico,PR,72137,66475,0.026026743,3,Toa Alta
"00954",PR,Toa Alta Municipio,Puerto Rico,PR,72135,,1,1,Toa Alta
"00956",PR,Aguas Buenas Municipio,Puerto Rico,PR,72007,67050,0.014841187,6,Bayamon
"00956",PR,Bayamón Municipio,Puerto Rico,PR,72021,67050,0.973237859,6,Bayamon
"00956",PR,Caguas Municipio,Puerto Rico,PR,72025,67050,0.001040083,6,Bayamon
"00956",PR,Cataño Municipio,Puerto Rico,PR,72033,67050,0.000760061,6,Bayamon
"00956",PR,San Juan Municipio,Puerto Rico,PR,72127,67050,0.010080806,6,Bayamon
"00956",PR,Trujillo Alto Municipio,Puerto Rico,PR,72139,67050,4.00032E-05,6,Bayamon
"00957",PR,Bayamón Municipio,Puerto Rico,PR,72021,40357,0.978916449,5,Bayamon
"00957",PR,Cataño Municipio,Puerto Rico,PR,72033,40357,0.000718016,5,Bayamon
"00957",PR,San Juan Municipio,Puerto Rico,PR,72127,40357,0.011031332,5,Bayamon
"00957",PR,Toa Alta Municipio,Puerto Rico,PR,72135,40357,0.008681462,5,Bayamon
"00957",PR,Trujillo Alto Municipio,Puerto Rico,PR,72139,40357,0.000652742,5,Bayamon
"00958",PR,Bayamón Municipio,Puerto Rico,PR,72021,,1,1,Bayamon
"00959",PR,Bayamón Municipio,Puerto Rico,PR,72021,46409,0.928356036,4,Bayamon
"00959",PR,Guaynabo Municipio,Puerto Rico,PR,72061,46409,0.004731205,4,Bayamon
"00959",PR,San Juan Municipio,Puerto Rico,PR,72127,46409,0.065405012,4,Bayamon
"00959",PR,Trujillo Alto Municipio,Puerto Rico,PR,72139,46409,0.001507747,4,Bayamon
"00960",PR,Bayamón Municipio,Puerto Rico,PR,72021,3340,1,1,Bayamon
"00961",PR,Bayamón Municipio,Puerto Rico,PR,72021,28891,0.982372323,5,Bayamon
"00961",PR,Cataño Municipio,Puerto Rico,PR,72033,28891,0.012355848,5,Bayamon
"00961",PR,San Juan Municipio,Puerto Rico,PR,72127,28891,0.001235585,5,Bayamon
"00961",PR,Toa Baja Municipio,Puerto Rico,PR,72137,28891,0.003377265,5,Bayamon
"00961",PR,Trujillo Alto Municipio,Puerto Rico,PR,72139,28891,0.000658979,5,Bayamon
"00962",PR,Bayamón Municipio,Puerto Rico,PR,72021,19213,0.006473268,5,Catano
"00962",PR,Cataño Municipio,Puerto Rico,PR,72033,19213,0.971110046,5,Catano
"00962",PR,Guaynabo Municipio,Puerto Rico,PR,72061,19213,0.016782546,5,Catano
"00962",PR,San Juan Municipio,Puerto Rico,PR,72127,19213,0.005154639,5,Catano
"00962",PR,Trujillo Alto Municipio,Puerto Rico,PR,72139,19213,0.000479501,5,Catano
"00963",PR,Cataño Municipio,Puerto Rico,PR,72033,,1,1,Catano
"00965",PR,Cataño Municipio,Puerto Rico,PR,72033,5886,0.002331002,2,Guaynabo
"00965",PR,Guaynabo Municipio,Puerto Rico,PR,72061,5886,0.997668998,2,Guaynabo
"00966",PR,Bayamón Municipio,Puerto Rico,PR,72021,17715,0.00128866,2,Guaynabo
"00966",PR,Guaynabo Municipio,Puerto Rico,PR,72061,17715,0.99871134,2,Guaynabo
"00968",PR,Guaynabo Municipio,Puerto Rico,PR,72061,3488,0.994224789,2,Guaynabo
"00968",PR,San Juan Municipio,Puerto Rico,PR,72127,3488,0.005775211,2,Guaynabo
"00969",PR,Bayamón Municipio,Puerto Rico,PR,72021,41619,0.006152014,4,Guaynabo
"00969",PR,Guaynabo Municipio,Puerto Rico,PR,72061,41619,0.847985711,4,Guaynabo
"00969",PR,San Juan Municipio,Puerto Rico,PR,72127,41619,0.145266918,4,Guaynabo
"00969",PR,Trujillo Alto Municipio,Puerto Rico,PR,72139,41619,0.000595356,4,Guaynabo
"00970",PR,Guaynabo Municipio,Puerto Rico,PR,72061,,1,1,Guaynabo
"00971",PR,Guaynabo Municipio,Puerto Rico,PR,72061,25499,1,1,Guaynabo
"00975",PR,San Juan Municipio,Puerto Rico,PR,72127,,0,1,San Juan
"00976",PR,Bayamón Municipio,Puerto Rico,PR,72021,61306,0.005538429,5,Trujillo Alto
"00976",PR,Carolina Municipio,Puerto Rico,PR,72031,61306,0.006844663,5,Trujillo Alto
"00976",PR,Cataño Municipio,Puerto Rico,PR,72033,61306,0.000208997,5,Trujillo Alto
"00976",PR,San Juan Municipio,Puerto Rico,PR,72127,61306,0.024557187,5,Trujillo Alto
